Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Hangoutz - The Boutique Cafe,"Howrah, Howrah", Howrah,Kolkata,Fast Food,4.5,18,600
Belgian Waffle Junction,"New Alipore, South Kolkata", South Kolkata,Kolkata,"Waffle,  Desserts,  Ice Cream",4.6,18,600
Azad Hind Dhaba,"Behala, South Kolkata", South Kolkata,Kolkata,"North Indian,  Chinese,  Fast Food",3.6,18,800
The Indian Heat,"Shivalik Plaza,Ambawadi, West Ahmedabad", West Ahmedabad,Ahmedabad,"North Indian,  Chinese,  Seafood,  Arabian",4.2,18,1000
Dakshination,"Navrangpura, West Ahmedabad", West Ahmedabad,Ahmedabad,South Indian,4.4,18,400
R.K. Egg Eatery,"Himalaya Arcade,Vastrapur, West Ahmedabad", West Ahmedabad,Ahmedabad,"Fast Food,  Street Food",3.7,18,300
Angithi By Mirch Masala,"Sumel Complex,Bodakdev, West Ahmedabad", West Ahmedabad,Ahmedabad,North Indian,4.8,18,1100
HOP,"Double Tree by Hilton Ahmedabad,Bopal, West Ahmedabad", West Ahmedabad,Ahmedabad,"Fast Food,  Continental",4.4,18,1200
Khichdi Etc,"Maninagar, East Ahmedabad", East Ahmedabad,Ahmedabad,"North Indian,  Chinese,  Mexican,  Gujarati",4.5,18,500
Chaps-In,"Sector 34, West Chandigarh", West Chandigarh,Chandigarh,North Indian,4.4,18,600
Chaayos,"Elante Mall,Industrial Area Phase 1, South Chandigarh", South Chandigarh,Chandigarh,"Tea,  Fast Food",4.3,18,500
Swiss Lounge,"Sector 5, Panchkula", Panchkula,Chandigarh,North Indian,4.4,18,1200
Ethnic Coriander's Mint,"Bestech Square Mall,Phase 9, Mohali", Mohali,Chandigarh,"North Indian,  Continental,  Oriental ",4.6,18,1000
Tulip Multi Cuisine,"Park Prime Goa,Panjim, North Goa", North Goa,Goa,"North Indian,  Chinese,  Continental,  Goan",4.2,18,1200
Navtara,"Mapusa, North Goa", North Goa,Goa,"Multi-Cuisine,  North Indian,  South Indian,  Goan",4.2,18,500
Navtara,"Mapusa, North Goa", North Goa,Goa,"Multi-Cuisine,  North Indian,  South Indian,  Goan",3.8,18,500
Shyam Darbaar,"Bais Godam, Central Jaipur", Central Jaipur,Jaipur,"North Indian,  Chinese,  Fast Food,  Italian,  South Indian",3.6,18,700
Kanha,"Vidhyadhar Nagar, North Jaipur", North Jaipur,Jaipur,"North Indian,  Fast Food,  Chinese,  South Indian",4,18,500
Kanha,"Tonk Road, South Jaipur", South Jaipur,Jaipur,"North Indian,  Fast Food,  Chinese,  South Indian",4.3,18,500
